epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.479552,1.71501,0.33333,1,1.47166,1.111e-05,1.111e-05,1.111e-05
2,1.13961,1.56909,0.33333,1,1.43908,3.26701e-05,3.26701e-05,3.26701e-05
3,1.5306,1.60078,0.33333,1,1.43364,5.33502e-05,5.33502e-05,5.33502e-05
4,1.92161,1.5394,0.33333,1,1.4159,7.31505e-05,7.31505e-05,7.31505e-05
5,2.2961,1.48645,0.33333,1,1.38027,9.20708e-05,9.20708e-05,9.20708e-05
6,2.671,1.49752,0.66667,1,1.33468,0.000110111,0.000110111,0.000110111
7,3.04587,1.48592,0.66667,1,1.31591,0.000127272,0.000127272,0.000127272
8,3.42888,1.47688,0.66667,1,1.24046,0.000143552,0.000143552,0.000143552
9,3.79672,1.29529,0.66667,1,1.24254,0.000158953,0.000158953,0.000158953
10,4.19997,1.32696,0.66667,1,1.1273,0.000173474,0.000173474,0.000173474
11,4.57741,1.24355,0.66667,1,1.05526,0.000187115,0.000187115,0.000187115
12,4.92158,1.22433,0.66667,1,1.05526,0.000199876,0.000199876,0.000199876
13,5.29662,1.27365,0.66667,1,0.97553,0.000211757,0.000211757,0.000211757
14,5.67163,1.13559,0.66667,1,0.99592,0.000222758,0.000222758,0.000222758
15,6.05253,1.12838,0.66667,1,0.99592,0.000232879,0.000232879,0.000232879
16,6.42178,1.07385,0.66667,1,0.87237,0.00024212,0.00024212,0.00024212
