frame,timestamp_sec,person_count,alert
1,0.04,1,
2,0.08,0,
3,0.12,0,
4,0.16,0,
5,0.2,0,
6,0.24,0,
7,0.28,0,
8,0.32,0,
9,0.36,0,
10,0.4,0,
11,0.44,0,
12,0.48,1,
13,0.52,1,
14,0.56,1,
15,0.6,1,
16,0.64,1,
17,0.68,1,
18,0.72,1,
19,0.76,1,
20,0.8,1,
21,0.84,1,
22,0.88,1,
23,0.92,1,
24,0.96,1,
25,1.0,1,
26,1.04,1,
27,1.08,1,
28,1.12,1,
29,1.16,1,
30,1.2,1,
31,1.24,1,
32,1.28,1,
33,1.32,1,
34,1.36,1,
35,1.4,0,
36,1.44,1,
37,1.48,1,
38,1.52,1,
39,1.56,1,
40,1.6,1,
41,1.64,1,
42,1.68,1,
43,1.72,1,
44,1.76,1,
45,1.8,1,
46,1.84,1,
47,1.88,1,
48,1.92,1,
49,1.96,1,
50,2.0,1,
51,2.04,1,
52,2.08,1,
53,2.12,1,
54,2.16,1,
55,2.2,1,
56,2.24,1,
57,2.28,1,
58,2.32,1,
59,2.36,1,
60,2.4,1,
61,2.44,1,
62,2.48,1,
63,2.52,1,
64,2.56,1,
65,2.6,1,
66,2.64,1,
67,2.68,1,
68,2.72,1,
69,2.76,1,
70,2.8,1,
71,2.84,1,
72,2.88,1,
73,2.92,1,
74,2.96,1,
75,3.0,1,
76,3.04,1,
77,3.08,1,
78,3.12,1,
79,3.16,1,
80,3.2,1,
81,3.24,1,
82,3.28,1,
83,3.32,1,
84,3.36,1,
85,3.4,1,
86,3.44,1,
87,3.48,1,
88,3.52,1,
89,3.56,1,
90,3.6,1,
91,3.64,1,
92,3.68,1,
93,3.72,1,
94,3.76,1,
95,3.8,1,
96,3.84,1,
97,3.88,1,
98,3.92,1,
99,3.96,1,
100,4.0,1,
101,4.04,1,
102,4.08,1,
103,4.12,1,
104,4.16,1,
105,4.2,1,
106,4.24,1,
107,4.28,1,
108,4.32,1,
109,4.36,1,
110,4.4,1,
111,4.44,1,
112,4.48,1,
113,4.52,1,
114,4.56,1,
115,4.6,1,
116,4.64,1,
117,4.68,1,
118,4.72,1,
119,4.76,1,
120,4.8,1,
121,4.84,1,
122,4.88,1,
123,4.92,1,
124,4.96,1,
125,5.0,1,
126,5.04,1,
127,5.08,1,
128,5.12,1,
129,5.16,1,
130,5.2,1,
131,5.24,1,
132,5.28,1,
133,5.32,1,
134,5.36,1,
135,5.4,1,
136,5.44,1,
137,5.48,1,
138,5.52,1,
139,5.56,1,
140,5.6,1,
141,5.64,1,
142,5.68,1,
143,5.72,1,
144,5.76,1,
145,5.8,1,
146,5.84,1,
147,5.88,1,
148,5.92,1,
149,5.96,1,
150,6.0,1,
151,6.04,1,
152,6.08,1,
153,6.12,1,
154,6.16,1,
155,6.2,1,
156,6.24,1,
157,6.28,1,
158,6.32,1,
159,6.36,1,
